NRC,Clave,Materia,Secc,Dias,Hora,Profesor,Salón,Hora_ini,Hora_fin
40627,INQS 014,Probabilidad y Estadistica,OO1,M,0700-0959,OJEDA - OROZCO ARZENIO SERVANDO,1FIQ1/102,7:00:00,9:59:00
40627,INQS 014,Probabilidad y Estadistica,OO1,J,0700-0959,OJEDA - OROZCO ARZENIO SERVANDO,1FIQ1/102,7:00:00,9:59:00
40747,LIAS 266,Procesamiento de Materiales,OO1,A,1200-1359,RUBIO - ROSAS EFRAIN,1FIQ5/101,12:00:00,13:59:00
40747,LIAS 266,Procesamiento de Materiales,OO1,J,1200-1359,RUBIO - ROSAS EFRAIN,1FIQ5/101,12:00:00,13:59:00
40747,LIAS 266,Procesamiento de Materiales,OO1,L,1200-1459,RUBIO - ROSAS EFRAIN,1FIQ5/101,12:00:00,14:59:00
40747,LIAS 266,Procesamiento de Materiales,OO1,M,1200-1459,RUBIO - ROSAS EFRAIN,1FIQ5/101,12:00:00,14:59:00
40747,LIAS 266,Procesamiento de Materiales,OO1,V,1200-1459,RUBIO - ROSAS EFRAIN,1FIQ5/101,12:00:00,14:59:00
41003,LIAS 268,Procesos de Separacion I,OO1,J,1600-1759,"TORREBLANCA - RAMIREZ MAGIN
IDELFONSO",1FIQ1/304,16:00:00,17:59:00
41003,LIAS 268,Procesos de Separacion I,OO1,V,1600-1759,"TORREBLANCA - RAMIREZ MAGIN
IDELFONSO",1FIQ1/304,16:00:00,17:59:00
41003,LIAS 268,Procesos de Separacion I,OO1,L,1500-1759,"TORREBLANCA - RAMIREZ MAGIN
IDELFONSO",1FIQ1/304,15:00:00,17:59:00
41003,LIAS 268,Procesos de Separacion I,OO1,A,1500-1759,"TORREBLANCA - RAMIREZ MAGIN
IDELFONSO",1FIQ1/304,15:00:00,17:59:00
41003,LIAS 268,Procesos de Separacion I,OO1,M,1500-1759,"TORREBLANCA - RAMIREZ MAGIN
IDELFONSO",1FIQ1/304,15:00:00,17:59:00
40748,LIAS 263,Propi. Mecanicas de Materiales,OO1,L,0900-1059,CAMACHO - GARCIA JOSE HUMBERTO,1FIQ5/102,9:00:00,10:59:00
40748,LIAS 263,Propi. Mecanicas de Materiales,OO1,A,0900-1059,CAMACHO - GARCIA JOSE HUMBERTO,1FIQ5/102,9:00:00,10:59:00
40748,LIAS 263,Propi. Mecanicas de Materiales,OO1,M,0900-1159,CAMACHO - GARCIA JOSE HUMBERTO,1FIQ5/102,9:00:00,11:59:00
40748,LIAS 263,Propi. Mecanicas de Materiales,OO1,J,0900-1159,CAMACHO - GARCIA JOSE HUMBERTO,1FIQ5/102,9:00:00,11:59:00
40748,LIAS 263,Propi. Mecanicas de Materiales,OO1,V,0900-1159,CAMACHO - GARCIA JOSE HUMBERTO,1FIQ5/102,9:00:00,11:59:00
40579,IDDS 002,Proyectos I + D I,361,A,1000-1159,ROMERO - TORRES LAURA MARGARITA,1FIQ1/206,10:00:00,11:59:00
40579,IDDS 002,Proyectos I + D I,361,J,1000-1159,ROMERO - TORRES LAURA MARGARITA,1FIQ1/206,10:00:00,11:59:00
40579,IDDS 002,Proyectos I + D I,361,L,1000-1259,ROMERO - TORRES LAURA MARGARITA,1FIQ1/206,10:00:00,12:59:00
40579,IDDS 002,Proyectos I + D I,361,M,1000-1259,ROMERO - TORRES LAURA MARGARITA,1FIQ1/206,10:00:00,12:59:00
40579,IDDS 002,Proyectos I + D I,361,V,1000-1259,ROMERO - TORRES LAURA MARGARITA,1FIQ1/206,10:00:00,12:59:00
44735,INQS 015,Quimica Analitica,OO1,J,1100-1359,SANTAMARIA - JUAREZ GUILLERMO,12EMA7/108,11:00:00,13:59:00
44735,INQS 015,Quimica Analitica,OO1,M,1100-1359,SANTAMARIA - JUAREZ GUILLERMO,12EMA5/304,11:00:00,13:59:00
44735,INQS 015,Quimica Analitica,OO1,V,1000-1359,SANTAMARIA - JUAREZ GUILLERMO,12EMA7/108,10:00:00,13:59:00
44735,INQS 015,Quimica Analitica,OO1,L,1100-1359,SANTAMARIA - JUAREZ GUILLERMO,12EM10/215,11:00:00,13:59:00
44735,INQS 015,Quimica Analitica,OO1,A,1100-1359,SANTAMARIA - JUAREZ GUILLERMO,12EM10/215,11:00:00,13:59:00
44733,INQS 005,Quimica Organica I,OO1,J,1000-1159,PEREZ - DIAZ LYDIA MARIA,12EM10/101,10:00:00,11:59:00
44733,INQS 005,Quimica Organica I,OO1,V,1000-1159,PEREZ - DIAZ LYDIA MARIA,12EM10/101,10:00:00,11:59:00
44733,INQS 005,Quimica Organica I,OO1,L,1000-1259,PEREZ - DIAZ LYDIA MARIA,12EMA7/107,10:00:00,12:59:00
44733,INQS 005,Quimica Organica I,OO1,A,1000-1259,PEREZ - DIAZ LYDIA MARIA,12EMA7/107,10:00:00,12:59:00
44733,INQS 005,Quimica Organica I,OO1,M,1000-1259,PEREZ - DIAZ LYDIA MARIA,12EMA7/107,10:00:00,12:59:00
40988,INQS 010,Quimica Organica II,OO1,L,0800-0959,MORENO - MORALES GLORIA ELIZABETH,1FIQ6/107,8:00:00,9:59:00
40988,INQS 010,Quimica Organica II,OO1,V,0800-0959,MORENO - MORALES GLORIA ELIZABETH,1FIQ6/107,8:00:00,9:59:00
40988,INQS 010,Quimica Organica II,OO1,A,0800-1059,MORENO - MORALES GLORIA ELIZABETH,1FIQ1/103,8:00:00,10:59:00
40988,INQS 010,Quimica Organica II,OO1,M,0800-1059,MORENO - MORALES GLORIA ELIZABETH,1FIQ1/103,8:00:00,10:59:00
40988,INQS 010,Quimica Organica II,OO1,J,0800-1059,MORENO - MORALES GLORIA ELIZABETH,1FIQ1/103,8:00:00,10:59:00
