NRC,Clave,Materia,Secc,Dias,Hora,Profesor,Salón,ini ,fin ,Hora_ini,Hora_fin
38026,INQS 021,Flujo de Fluidos,OO2,L,1100-1159,LUNA - FLORES ADAN,1FIQ1/205,1100,1159,11:00,11:59
38026,INQS 021,Flujo de Fluidos,OO2,A,1100-1159,LUNA - FLORES ADAN,1FIQ1/205,1100,1159,11:00,11:59
38026,INQS 021,Flujo de Fluidos,OO2,M,1100-1159,LUNA - FLORES ADAN,1FIQ1/205,1100,1159,11:00,11:59
38026,INQS 021,Flujo de Fluidos,OO2,J,1100-1159,LUNA - FLORES ADAN,1FIQ1/205,1100,1159,11:00,11:59
38027,INQS 021,Flujo de Fluidos,OO3,L,1600-1659,GARCIA - CUEVAS JOSE BLAS MARTIN,1FIQ1/303,1600,1659,16:00,16:59
38027,INQS 021,Flujo de Fluidos,OO3,A,1600-1659,GARCIA - CUEVAS JOSE BLAS MARTIN,1FIQ1/303,1600,1659,16:00,16:59
38027,INQS 021,Flujo de Fluidos,OO3,M,1600-1659,GARCIA - CUEVAS JOSE BLAS MARTIN,1FIQ1/303,1600,1659,16:00,16:59
38027,INQS 021,Flujo de Fluidos,OO3,J,1600-1659,GARCIA - CUEVAS JOSE BLAS MARTIN,1FIQ1/303,1600,1659,16:00,16:59
38029,INQS 021,Flujo de Fluidos,OO4,L,1400-1459,REYES - AVENDANO JOSE ANDRES,1FIQ1/203,1400,1459,14:00,14:59
38029,INQS 021,Flujo de Fluidos,OO4,A,1400-1459,REYES - AVENDANO JOSE ANDRES,1FIQ1/203,1400,1459,14:00,14:59
38029,INQS 021,Flujo de Fluidos,OO4,M,1400-1459,REYES - AVENDANO JOSE ANDRES,1FIQ1/203,1400,1459,14:00,14:59
38029,INQS 021,Flujo de Fluidos,OO4,J,1400-1459,REYES - AVENDANO JOSE ANDRES,1FIQ1/203,1400,1459,14:00,14:59
38291,IAMS 802,Impacto Ambiental,OO1,L,1700-1759,LOPEZ - ORTEGA JOSE GERARDO,1FIQ2/202,1700,1759,17:00,17:59
38291,IAMS 802,Impacto Ambiental,OO1,A,1700-1759,LOPEZ - ORTEGA JOSE GERARDO,1FIQ2/202,1700,1759,17:00,17:59
38291,IAMS 802,Impacto Ambiental,OO1,M,1700-1759,LOPEZ - ORTEGA JOSE GERARDO,1FIQ2/202,1700,1759,17:00,17:59
38291,IAMS 802,Impacto Ambiental,OO1,J,1700-1759,LOPEZ - ORTEGA JOSE GERARDO,1FIQ2/202,1700,1759,17:00,17:59
